frame,phase,pelvis_tx,pelvis_ty,ncon,r_heel_btm_x,r_heel_btm_z,r_heel_btm_terrain_z,r_heel_btm_clearance,r_heel_btm_surface,r_heel_btm_edge_margin,r_toe_btm_x,r_toe_btm_z,r_toe_btm_terrain_z,r_toe_btm_clearance,r_toe_btm_surface,r_toe_btm_edge_margin,l_heel_btm_x,l_heel_btm_z,l_heel_btm_terrain_z,l_heel_btm_clearance,l_heel_btm_surface,l_heel_btm_edge_margin,l_toe_btm_x,l_toe_btm_z,l_toe_btm_terrain_z,l_toe_btm_clearance,l_toe_btm_surface,l_toe_btm_edge_margin
0,255,6.490221977233887,1.945480227470398,2,6.297204193640106,1.0411072584257572,1.0207140796352925,0.02039317879046476,,,6.455281606120905,1.0663368370385173,1.0463368537474016,0.01999998329111574,,,6.596210577249422,1.1323364638856483,1.0691800363147819,0.06315642757086648,,,6.755194706619304,1.151019252596784,1.0949497802037111,0.056069472393072806,,
1,256,6.544465065002441,1.9456102848052979,2,6.294685724171679,1.0500420344830623,1.0203058608184163,0.029736173664645982,,,6.453954187262084,1.0661217314359854,1.0461216923714785,0.02000003906450698,,,6.715541406203658,1.1301693617862867,1.0885223751532072,0.04164698663307953,,,6.870977611436258,1.168439272187929,1.1137170358768074,0.05472223631112172,,
2,257,6.581603527069092,1.9390374422073364,2,6.273492756515039,1.0574737895745598,1.0168706918432329,0.040603097731326976,,,6.433482117149388,1.0628033751714363,1.042803373708029,0.020000001463407413,,,6.797412789546998,1.1250442581188378,1.1017929109541844,0.02325134716465338,,,6.9491811948973385,1.1759495724774227,1.1263930578481574,0.04955651462926536,,
3,258,6.610961437225342,1.94166100025177,2,6.251162872214379,1.0772558442553486,1.0132512400037434,0.06400460425160515,,,6.411103646390518,1.070626458603975,1.0391760464875848,0.031450412116390325,,,6.849569914015143,1.1302470734394208,1.110247061345511,0.02000001209390967,,,6.999126549575071,1.187324324817593,1.134488702385685,0.05283562243190798,,
4,259,6.652695178985596,1.9471324682235718,2,6.254109675085986,1.099900557522175,1.0137288873990744,0.08617167012310056,,,6.412936721895706,1.079926344517482,1.0394731697695438,0.04045317474793819,,,6.893440068720332,1.137357949675213,1.1173579764764812,0.019999973198731924,,,7.043165365357211,1.1939912915683424,1.1416269557973648,0.052364335770977544,,
5,260,6.697009563446045,1.9507697820663452,2,6.2656231068711215,1.1333650845910468,1.0155951000176644,0.11776998457338239,,,6.415492889410214,1.0771152121426075,1.039887499064217,0.037227713078390456,,,6.909224958215104,1.1399165835002023,1.1199165498460844,0.020000033654117955,,,7.061915037661111,1.1879867358084844,1.1446660909310908,0.04332064487739351,,
6,261,8.0,2.1447439193725586,2,7.5686135434250765,1.3273392178750145,1.2267968719983122,0.1005423458767023,,,7.718483325964169,1.2710893454265753,1.2510892710448651,0.020000074381710142,,,8.21221539476906,1.3338907167841707,1.29672032,0.03717039678417078,,,8.364905474215066,1.3819608690924527,1.29672032,0.08524054909245282,,
7,262,8.04258918762207,2.162875175476074,2,7.630348338265249,1.3646317430495045,1.2368034673633477,0.12782827568615684,,,7.765403214459888,1.2786946724119002,1.2586945176479318,0.020000154763968325,,,8.244756733361621,1.3448056869452973,1.29672032,0.048085366945297414,,,8.395725323327628,1.398036173756572,1.29672032,0.10131585375657215,,
8,263,8.076837539672852,2.172062873840332,2,7.693025025697403,1.3918995657277367,1.246962734136293,0.14493683159144366,,,7.813498486554235,1.2864901507384858,1.2664902822255153,0.01999986851297053,,,8.266618658938457,1.343966603457044,1.29672032,0.04724628345704418,,,8.416177618838256,1.4010377641129421,1.29672032,0.10431744411294219,,
9,264,8.114886283874512,2.1753358840942383,2,7.7736906367813345,1.4099587516622414,1.260037826263512,0.14992092539872948,,,7.888776265340274,1.2986919660262826,1.2786920604000556,0.019999905626227,,,8.282828900029745,1.331954939046082,1.29672032,0.03523461904608216,,,8.43139175024384,1.3915710391270977,1.29672032,0.09485071912709775,,
