frame,phase,pelvis_tx,pelvis_ty,ncon,r_heel_btm_x,r_heel_btm_z,r_heel_btm_terrain_z,r_heel_btm_clearance,r_heel_btm_surface,r_heel_btm_edge_margin,r_toe_btm_x,r_toe_btm_z,r_toe_btm_terrain_z,r_toe_btm_clearance,r_toe_btm_surface,r_toe_btm_edge_margin,l_heel_btm_x,l_heel_btm_z,l_heel_btm_terrain_z,l_heel_btm_clearance,l_heel_btm_surface,l_heel_btm_edge_margin,l_toe_btm_x,l_toe_btm_z,l_toe_btm_terrain_z,l_toe_btm_clearance,l_toe_btm_surface,l_toe_btm_edge_margin
0,0,0.37038813903927803,0.9420135617256165,8,0.01642521669195659,0.1041701851249304,0.002662364030607911,0.10150782109432249,,,0.1659048391757721,0.04689154751863793,0.026891522018194464,0.020000025500443466,,,0.6148310107264781,0.14800425231092196,0.09965798312189525,0.04834626918902671,,,0.7611636793639528,0.2129022485416641,0.12337705123465027,0.08952519730701382,,
1,1,0.39749879390001297,0.9501913189888,8,0.05956531915898557,0.13588223625857937,0.009654944965092737,0.12622729129348664,,,0.19573771673585888,0.05172715415144705,0.03172713433522403,0.020000019816223014,,,0.6285882356443359,0.1439988044778175,0.10188789225911982,0.04211091221869767,,,0.7730735056242389,0.21291184070380195,0.1253075154495731,0.08760432525422884,,
2,2,0.41449514776468277,0.9458242654800415,8,0.10066503592531932,0.15843403148973342,0.016316799699736446,0.14211723178999697,,,0.2239240983824648,0.05629587461610744,0.03629586606377765,0.020000008552329786,,,0.6233810784682611,0.1216577132887864,0.10104386394416356,0.020613849344622834,,,0.7669391172335456,0.19248206854767974,0.12431319218995009,0.06816887635772965,,
3,3,0.44033340364694595,0.9652175903320312,4,0.1598792967770424,0.19939860414156357,0.025914841609762672,0.1734837625318009,,,0.2806295068460475,0.09430632892469225,0.04548724798985611,0.04881908093483614,,,0.6181019966843221,0.12018819327572057,0.10018817736664162,0.020000015909078947,,,0.7617160022084546,0.19089899308702113,0.12346657726660848,0.06743241582041265,,
4,4,0.4745876416563988,0.9852555394172668,2,0.23509318281726024,0.23175754551241642,0.03810626340657702,0.1936512821058394,,,0.3622427010829996,0.13450529817309537,0.058715933908251444,0.07578936426484392,,,0.6114086431044385,0.11910324171392678,0.09910325141714416,0.01999999029678262,,,0.7561123052920076,0.18755651011781255,0.12255827380927371,0.06499823630853883,,
5,5,0.517201840877533,1.0029349327087402,2,0.3250515919930646,0.25128572225798157,0.05268762554821952,0.19859809670976206,,,0.4620464684608865,0.16847628114661956,0.07489313055468383,0.09358315059193573,,,0.6046043769425501,0.11800037207379888,0.09800034764279301,0.02000002443100586,,,0.7512060756856805,0.1822883317103215,0.12176302285613498,0.06052530885418651,,
6,6,0.5643942505121231,1.0164892673492432,2,0.43059514557703377,0.2566850034370163,0.06979518437038722,0.18688981906662905,,,0.5780359359081009,0.1943455040375074,0.09369386797278151,0.10065163606472588,,,0.6018924459482139,0.11756080064650787,0.09756077063944382,0.020000030007064046,,,0.7505515081269194,0.1769365792598367,0.12165692397435268,0.05527965528548401,,
7,7,0.6101399660110474,1.0258431434631348,2,0.5484258174529331,0.2522523349125631,0.08889436268797861,0.16335797222458448,,,0.7040892061141243,0.2149172391887441,0.11412584758260665,0.10079139160613747,,,0.6023037950744747,0.11762747581883276,0.09762744623577341,0.020000029583059353,,,0.7527720885895615,0.172256154394222,0.12201685795036556,0.050239296443856454,,
8,8,0.6521187126636505,1.0316377878189087,2,0.6742018254388131,0.2445083847014968,0.10928140085345023,0.13522698384804657,,,0.8340038785642188,0.23511137383405328,0.13518372203662934,0.09992765179742394,,,0.6031899731273672,0.11777105091736316,0.09777108687181388,0.01999996404554928,,,0.7551698928221207,0.168041359298875,0.12240551813433324,0.045635841164541766,,
9,9,0.690950870513916,1.0345861911773682,2,0.8043166430541585,0.23997145207592463,0.13037171684531426,0.10959973523061037,,,0.9632192923581734,0.2593350268650856,0.156128253627108,0.10320677323797758,,,0.6039211641817138,0.11788966264096058,0.09788960565906056,0.020000056981900022,,,0.7571688335823752,0.1641514366504953,0.12272952652212053,0.041421910128374775,,
10,10,0.7283236980438232,1.0348083972930908,2,0.9314116859462072,0.24245287250098382,0.15097255743148816,0.09148031506949567,,,1.0848920699490225,0.2879366238914779,0.17585019901371984,0.11208642487775805,,,0.603263840629623,0.11778301473960592,0.09778306005820922,0.019999954681396703,,,0.7577277684582876,0.1598055673334925,0.12282012429851456,0.03698544303497793,,
