frame,phase,pelvis_tx,pelvis_ty,ncon,r_heel_btm_x,r_heel_btm_z,r_heel_btm_terrain_z,r_heel_btm_clearance,r_heel_btm_surface,r_heel_btm_edge_margin,r_toe_btm_x,r_toe_btm_z,r_toe_btm_terrain_z,r_toe_btm_clearance,r_toe_btm_surface,r_toe_btm_edge_margin,l_heel_btm_x,l_heel_btm_z,l_heel_btm_terrain_z,l_heel_btm_clearance,l_heel_btm_surface,l_heel_btm_edge_margin,l_toe_btm_x,l_toe_btm_z,l_toe_btm_terrain_z,l_toe_btm_clearance,l_toe_btm_surface,l_toe_btm_edge_margin
0,0,0.3499999940395355,0.9387088418006897,8,-0.0039629283077859175,0.10086546526853027,0.0,0.10086546526853027,,,0.14551669417602958,0.0435868276622378,0.0235868067796604,0.0200000208825774,,,0.5944428657267355,0.14469953245452183,0.09635326788336118,0.048346264571160646,,,0.7407755343642103,0.20959752868526396,0.12007233599611622,0.08952519268914774,,
1,1,0.39058148115873337,0.9490700960159302,9,0.05264800641770597,0.13476101330895923,0.008533717466166216,0.12622729584279302,,,0.18882040399457928,0.05060593120182691,0.030605906836297513,0.020000024365529397,,,0.6216709229030563,0.14287758152819724,0.1007666647601933,0.042110916768003936,,,0.7661561928829593,0.2117906177541817,0.12418628795064658,0.08760432980353512,,
2,2,0.42922917008399963,0.9482125043869019,6,0.11539905824463619,0.16082227034707128,0.018705037966835408,0.14211723238023588,,,0.23865812070178166,0.05868411347344529,0.038684104330876615,0.020000009142568678,,,0.6381151007875779,0.12404595214612414,0.10343210221126253,0.02061384993486161,,,0.7816731395528624,0.19487030740501748,0.12670143045704904,0.06816887694796844,,
3,3,0.4671938121318817,0.9695713520050049,4,0.18673970526197817,0.20375236572425764,0.03026864629550225,0.1734837194287554,,,0.30748991533098324,0.09866009050738632,0.04984105267559569,0.04881903783179063,,,0.6449624051692578,0.12454195485841466,0.1045419820523812,0.019999972806033453,,,0.7885764106933904,0.1952527546697152,0.12782038195234807,0.06743237271736713,,
4,4,0.5049821883440018,0.9901822209358215,2,0.26548772950486327,0.2366842269288115,0.04303291669495247,0.19365131023385904,,,0.3926372477706026,0.13943197958949044,0.06364258719662688,0.07578939239286356,,,0.6418031897920415,0.12402992313032185,0.1040299047055196,0.020000018424802257,,,0.7865068519796106,0.19248319153420762,0.12748492709764914,0.06499826443655848,,
5,5,0.542563185095787,1.0070457458496094,2,0.3504129362113187,0.2553965353136089,0.05679844684701009,0.19859808846659882,,,0.4874078126791406,0.17258709420224688,0.0790039518534744,0.09358314234877248,,,0.6299657211608042,0.1221111851294262,0.10211116894158359,0.020000016187842612,,,0.7765674199039346,0.18639914476594882,0.12587384415492556,0.060525300611023264,,
6,6,0.5798224806785583,1.0189900398254395,2,0.446023375743469,0.2591857758613567,0.07229594681519391,0.1868898290461628,,,0.5934641660745361,0.19684627646184782,0.09619463041758819,0.10065164604425964,,,0.6173206761146491,0.1200615730708483,0.10006153308425052,0.020000039986597787,,,0.7659797382933546,0.17943735168417713,0.12415768641915938,0.05527966526501775,,
7,7,0.6167887449264526,1.0269207954406738,2,0.5550745963683383,0.2533299868677558,0.08997206352832782,0.163357923339428,,,0.7107379850295296,0.21599489114393683,0.11520354842295584,0.10079134272098099,,,0.60895257398988,0.11870512777402548,0.0987051470761226,0.019999980697902875,,,0.7594208675049667,0.17333380634941473,0.12309455879071475,0.050239247558699976,,
8,8,0.6537091732025146,1.031895637512207,2,0.6757922859776773,0.2447662343894483,0.10953919866581315,0.13522703572363515,,,0.8355943391030829,0.2353692235220048,0.13544151984899228,0.09992770367301251,,,0.6047804336662314,0.11802890060531467,0.09802888468417678,0.020000015921137884,,,0.7567603533609848,0.16829920898682652,0.12266331594669615,0.04563589304013037,,
9,9,0.6909048557281494,1.0345786809921265,2,0.8042706282683919,0.2399639418908388,0.13036425830684878,0.10959968358399003,,,0.9631732775724068,0.25932751667999976,0.15612079508864252,0.10320672159135724,,,0.6038751493959472,0.11788215245587476,0.09788214712059505,0.020000005335279708,,,0.7571228187966086,0.16414392646540948,0.12272206798365504,0.04142185848175445,,
10,10,0.7284146249294281,1.0348231792449951,2,0.931502612831812,0.2424676544525817,0.1509872957740129,0.0914803586785688,,,1.0849829968346274,0.28795140584307577,0.17586493735624462,0.11208646848683115,,,0.6033547675152279,0.1177977966912038,0.09779779840073398,0.01999999829046982,,,0.7578186953438925,0.15982034928509037,0.12283486264103934,0.03698548664405103,,
11,11,0.7667942643165588,1.0315985679626465,2,1.0448353660401088,0.24921694677384035,0.16935740627485588,0.07985954049898447,,,1.1905836517394663,0.31541692437164714,0.19298175173379617,0.12243517263785098,,,0.5991077173446754,0.11710933544315606,0.09710939386870712,0.01999994157444894,,,0.7549675882799963,0.15361550720568654,0.12237272658300813,0.031242780622678407,,
12,12,0.806951254606247,1.0231057405471802,2,1.1318190353850355,0.2505454326438168,0.1834565927183218,0.067088839925495,,,1.2709187258920869,0.3297683828574573,0.2060032671165974,0.12376511574085991,,,0.5883056387993626,0.11535845702583265,0.09535848452521423,0.019999972500618426,,,0.7458337565047273,0.14381706027014038,0.12089222342520149,0.022924836844938887,,
13,13,0.849322646856308,1.0173521041870117,2,1.1853721061840254,0.24699492102246495,0.19213701210625292,0.054857908916212034,,,1.322701062645714,0.32924914545230377,0.21439666815228628,0.11485247730001749,,,0.5738530097791529,0.12168969429590366,0.09301585730922328,0.028673836986680384,,,0.7330125423682422,0.13881403877565665,0.11881403231297007,0.020000006462686584,,
14,14,0.8939670026302338,1.0134555101394653,4,1.205700165606576,0.23675678343087245,0.1954319880711765,0.04132479535969594,,,1.3472750224378527,0.31146662001030245,0.21837986227795242,0.09308675773235003,,,0.5618025036970042,0.1349338094033379,0.09106259029634756,0.04387121910699035,,,0.7218671784311133,0.13700742992925857,0.11700747982658628,0.01999995010267229,,
15,15,0.9405588805675507,1.0107275247573853,5,1.204049278756597,0.22464238301273118,0.19516439575562797,0.02947798725710321,,,1.3515301455443174,0.28688701146261353,0.21906957535248422,0.0678174361101293,,,0.5562744984640905,0.15332926341093567,0.09016655570702437,0.0631627077039113,,,0.7154075413674781,0.13596047980938347,0.11596043699655617,0.0200000428128273,,
16,16,0.9879882037639618,1.0130990743637085,5,1.2032306793675969,0.21867507512266335,0.19503170894792093,0.023643366174742414,,,1.353665430732173,0.2733960533457825,0.21941568381399512,0.053980369531787364,,,0.5632071306131096,0.17848920967586357,0.09129026632936414,0.08719894334649943,,,0.717631340868339,0.13632093708491302,0.1163208927466027,0.02000004433831032,,
17,17,1.0342896282672882,1.0235490798950195,5,1.213493283628642,0.22007652775615266,0.19669517488309793,0.023381352873054734,,,1.3640626992082845,0.27442586969791755,0.2211009774771788,0.053324892220738745,,,0.5900496329313231,0.21052823644215948,0.09564116860382346,0.11488706783833602,,,0.7331786857318283,0.13884090121966292,0.11884096249741948,0.01999993872224344,,
18,18,1.0776531994342804,1.0348681211471558,6,1.2281458229801858,0.2190701920141534,0.19907020557269123,0.01999998644146217,,,1.3778698137600016,0.27570698616720246,0.2233389732271512,0.05236801294005125,,,0.6352466456839541,0.2449034819485962,0.10296715420877793,0.1419363277398183,,,0.7588639655145104,0.14319921552415438,0.1230042905248056,0.020194924999348773,,
19,19,1.1180581152439117,1.0526803731918335,8,1.2401506449096509,0.22101605301723126,0.20101606763943108,0.019999985377800178,,,1.3892046187747324,0.2793933836661628,0.22517623222538113,0.05421715144078165,,,0.6952473520944752,0.28812770946466504,0.11269267111088756,0.1754350383537775,,,0.7953975490187387,0.16324801772386047,0.1289260205363493,0.034321997187511166,,
20,20,1.156426578760147,1.071818470954895,4,1.2494550010818244,0.222524204552891,0.20252421110355295,0.019999993449338033,,,1.3981216741961846,0.28188092413031574,0.2266215980953265,0.05525932603498923,,,0.7677492302982253,0.3274682586235833,0.12444450344900854,0.20302375517457477,,,0.8544724194729695,0.19291682716130104,0.1385014686512704,0.054415358510030654,,
21,21,1.1933716237545013,1.0906418561935425,4,1.2584993674770355,0.22399021197240002,0.20399021281432736,0.019999999158072657,,,1.4069903479000754,0.2837850995860103,0.22805912177073712,0.055725977815273164,,,0.8511002799487144,0.35313221075029116,0.13795487842089832,0.21517733232939285,,,0.9433090980871418,0.22227911316598048,0.15290100944130874,0.06937810372467174,,
22,22,1.2295286357402802,1.1074678897857666,3,1.2689709098831097,0.2256875399633106,0.20568754554178964,0.01999999442152095,,,1.4176593199945677,0.28498978741380787,0.22978845588429228,0.05520133152951559,,,0.9475747508837445,0.363614228475741,0.15359242927373618,0.2100217992020048,,,1.0556300958965166,0.2455081666682432,0.1711071244690702,0.07440104219917301,,
23,23,1.265788048505783,1.1208676099777222,2,1.2753894408626392,0.22672795834031476,0.2067279254850028,0.02000003285531196,,,1.4250575654393691,0.28351221982146835,0.23098763778436995,0.052524582037098394,,,1.0520227074674298,0.36349584296873316,0.17052240273430397,0.1929734402344292,,,1.1780021143796777,0.2647325470055427,0.19094240983988653,0.07379013716565619,,
24,24,1.3020000159740448,1.1296650171279907,2,1.2726652860614203,0.22628633439199217,0.20628636712430704,0.01999996726768513,,,1.4239942756838877,0.2784834299706849,0.23081528910537238,0.04766814086531254,,,1.1594815684998472,0.35560761755509307,0.18794041381740295,0.16766720373769012,,,1.301771171296099,0.28226820991485657,0.21100414122623154,0.07126406868862503,,
25,25,1.337877780199051,1.1330163478851318,2,1.2603863535763653,0.2242961089682674,0.2042960744666472,0.020000034501620217,,,1.4136682589449132,0.2704443201824241,0.22914154463911132,0.04130277554331277,,,1.2687262700659012,0.3423292315519397,0.2056478918640327,0.13668133968790702,,,1.4223515312935608,0.2973372430564032,0.2305490166014345,0.06678822645496868,,
26,26,1.3736116588115692,1.1314648389816284,2,1.2447478350336445,0.2217612344648674,0.20176122637051683,0.02000000809435057,,,1.3998004455671507,0.2615568108655952,0.22689371021399726,0.03466310065159792,,,1.38229241867186,0.32631986410103075,0.2240558334342185,0.10226403066681225,,,1.5415798671656633,0.31042934045132325,0.24987474233207704,0.06055459811924621,,
27,27,1.409499853849411,1.126404047012329,2,1.2302505337920697,0.21941132737192248,0.19941135823237793,0.01999996913954455,,,1.3866589606398154,0.2534907047554309,0.2247636063964661,0.02872709835896481,,,1.4992761932277072,0.31173835012596524,0.24301773813132677,0.06872061199463847,,,1.6588724952792555,0.32414884427742746,0.2688867091147143,0.055262135162713166,,
28,28,1.4461629092693329,1.1173031330108643,2,1.2147251988867311,0.21689488177814042,0.19689485607655818,0.02000002570158224,,,1.3723080073711245,0.24504907218201927,0.22243745980710586,0.02261161237491341,,,1.6089463072105887,0.2999880461902351,0.2607941712936166,0.03919387489661852,,,1.765112390553395,0.3351612513620769,0.2861071379892954,0.04905411337278154,,
29,29,1.4843117892742157,1.110898494720459,2,1.1970091083732781,0.2218601964978896,0.19402325425658898,0.027836942241300622,,,1.3557350852771126,0.2426222830511799,0.21975115420197058,0.022871128849209305,,,1.6985394372948683,0.29531636820432977,0.27531632533270267,0.0200000428716271,,,1.85074373330425,0.34490318272507803,0.2999871257610352,0.04491605696404283,,
30,30,1.5241689383983612,1.118896722793579,2,1.184825927856795,0.24463481577785778,0.192048482039345,0.05258633373851279,,,1.34448423071649,0.25622042419499647,0.21792750273620506,0.0382929214587914,,,1.764829981696108,0.30606130809211624,0.2860613623263214,0.019999945765794835,,,1.9147116587861897,0.36227947901213997,0.3103556893611198,0.05192378965102018,,
31,31,1.5654966533184052,1.1237151622772217,2,1.1894539640074575,0.26307664222075045,0.19279864060412732,0.07027800161662312,,,1.349529640270151,0.26395861104618507,0.21874531337257438,0.04521329767361068,,,1.8120681688911857,0.3137181366114578,0.293718201978299,0.0199999346331588,,,1.9621387427717845,0.3694300987598698,0.31804314730142824,0.051386951458441577,,
